time,ax,ay,az,atotal,wx,wy,wz,type,lon,lat
2022-12-08 21:23:47+00:00,-0.016551724137931,0.0178160919540229,-0.0345977011494252,0.7042567715338953,0.01,-1.01,0.4,ankle,-123.17823277986109,49.264326955802055
2022-12-08 21:23:48+00:00,-0.036144578313253,0.0209638554216867,-0.0821686746987951,0.5848463538142089,-0.6,-1.35,0.75,ankle,-123.17826544471195,49.26432480353597
2022-12-08 21:23:50+00:00,-0.0823529411764705,0.0464705882352941,-0.1061176470588235,0.49463316051844586,-0.29,-1.71,1.09,ankle,-123.17829931331602,49.264322868121056
2022-12-08 21:23:51+00:00,-0.078,0.0102105263157894,-0.0009473684210526,0.42716225385380946,1.17,-0.18,0.65,ankle,-123.1783352702026,49.264320561427745
2022-12-08 21:23:52+00:00,-0.0499009900990099,0.0039603960396039,-0.0459405940594059,0.38121690020402377,1.01,-0.71,0.66,ankle,-123.1783636369857,49.26431558107674
2022-12-08 21:23:53+00:00,-0.0023469387755102,-0.006938775510204,-0.04,0.35856368229735425,0.84,-0.34,0.57,ankle,-123.17839483812016,49.264309690950235
2022-12-08 21:23:54+00:00,-0.0303,-0.0232,-0.025,0.35744702963262875,0.46,-0.11,0.4,ankle,-123.17842732987478,49.26430484180289
2022-12-08 21:23:55+00:00,-0.0379,0.0033999999999999,-0.033,0.37053093485495403,0.33,0.49,0.24,ankle,-123.17845820891449,49.264300203533764
2022-12-08 21:23:56+00:00,-0.0302999999999999,-0.0418,-0.0131,0.38797209231707946,0.22,0.17,0.24,ankle,-123.17848775232217,49.26429639310815
2022-12-08 21:23:57+00:00,0.006060606060606,-0.0037373737373737,-0.0242424242424242,0.40163033907774504,0.25,-0.2,0.59,ankle,-123.17852024347083,49.26429229875124
2022-12-08 21:23:58+00:00,-0.0045999999999999,-0.0596999999999999,-0.033,0.4078696642070098,0.4,-0.85,1.25,ankle,-123.17855173723295,49.26428736734076
2022-12-08 21:23:59+00:00,-0.0772,-0.0391,-0.0154,0.4086904690148095,0.86,-1.18,1.43,ankle,-123.1785817685523,49.264281526437074
2022-12-08 21:24:00+00:00,-0.0599,-0.0739,-0.0003999999999999,0.41071559227148724,0.29,0.52,1.54,ankle,-123.17861196526273,49.264276675085675
2022-12-08 21:24:02+00:00,-0.0325252525252525,-0.0579797979797979,0.0129292929292929,0.42152161756850487,-0.89,0.74,1.53,ankle,-123.17864826205225,49.26427474025369
2022-12-08 21:24:03+00:00,-0.04,-0.0272,-0.0363,0.4463875518185535,0.02,1.71,1.32,ankle,-123.17868438865041,49.26427476617473
